feature,空值率%,inf率%,非空率%,importance,iv
同行PS_中位,1.3,0.0,98.7,27,0.0098368666679641
同行公司数,1.3,0.0,98.7,17,0.0035798214473285
同行PB_均值,1.3,0.0,98.7,20,0.0149524363873433
同行PS_均值,1.3,0.0,98.7,8,0.0068002815540958
同行PB_中位,1.3,0.0,98.7,11,0.0284258473388553
同行市值_均值,1.3,0.0,98.7,56,0.0334179431195595
同行市值_中位,1.3,0.0,98.7,33,0.0310258200041763
个股PS,1.1,0.0,98.9,21,0.0427426860892949
PB_vs_行业,1.1,0.0,98.9,33,0.0609982473451743
个股PB,1.1,0.0,98.9,50,0.1170280477942529
行业PB,1.0,0.0,99.0,49,0.0181967193365539
行业PE,1.0,0.0,99.0,18,0.0177192409429327
行业年化收益_120d,0.9,0.0,99.1,25,0.0195605519726047
行业总天数,0.9,0.0,99.1,12,0.0559857103668158
行业年化收益_250d,0.9,0.0,99.1,24,0.0173548447507088
行业区间收益_250d,0.9,0.0,99.1,9,0.0173548447507088
行业MA250,0.9,0.0,99.1,15,0.0187612929126982
行业年化收益_20d,0.9,0.0,99.1,35,0.0491562076548536
行业波动率_60d,0.9,0.0,99.1,22,0.0427796888375849
行业区间收益_120d,0.9,0.0,99.1,7,0.0195605519726047
行业胜率_120d,0.9,0.0,99.1,42,0.0595759439396395
行业波动率_20d,0.9,0.0,99.1,25,0.0103937118803907
行业漂移率,0.9,0.0,99.1,2,0.040678277032181
行业胜率_60d,0.9,0.0,99.1,7,0.0395877415269593
行业MA20,0.9,0.0,99.1,11,0.0200673646760697
行业年化收益_60d,0.9,0.0,99.1,51,0.040678277032181
行业MA60,0.9,0.0,99.1,1,0.0207161451771297
行业波动率_总,0.9,0.0,99.1,5,0.0427796888375849
行业胜率_250d,0.9,0.0,99.1,7,0.0071489577659283
行业波动率_120d,0.9,0.0,99.1,31,0.0450903793200957
行业胜率_20d,0.9,0.0,99.1,11,0.0213273044618719
行业级别,0.9,0.0,99.1,14,0.0191843352365603
行业区间收益_20d,0.9,0.0,99.1,10,0.0491562076548536
行业波动率_250d,0.9,0.0,99.1,39,0.0430235832726373
行业区间收益_60d,0.9,0.0,99.1,29,0.0405818558839149
行业MA120,0.9,0.0,99.1,13,0.0211738733217177
锁定价当前价,0.7,0.0,99.3,14,0.0467793940244694
报价日MA20,0.7,0.0,99.3,14,
胜率_20d,0.4,0.0,99.6,9,0.0219576200226331
胜率_60d,0.4,0.0,99.6,17,0.0011214100230318
MA20,0.4,0.0,99.6,23,0.0337330742299928
MA120,0.4,0.0,99.6,17,0.0396521292599558
当前价,0.4,0.0,99.6,8,0.0443386859372013
年化收益_120d,0.4,0.0,99.6,36,0.0295481416831366
波动率_120d,0.4,0.0,99.6,18,0.0059515863884902
MA60,0.4,0.0,99.6,11,0.03891539988381
区间收益_120d,0.4,0.0,99.6,13,0.0253111952916544
数据天数,0.4,0.0,99.6,27,0.0944811203415079
漂移率,0.4,0.0,99.6,32,0.0091274256911097
波动率,0.4,0.0,99.6,16,0.0160454374978515
年化收益_60d,0.4,0.0,99.6,19,0.0267435570727317
波动率_60d,0.4,0.0,99.6,64,0.0146666038213429
区间收益_60d,0.4,0.0,99.6,26,0.0251289352269
胜率_120d,0.4,0.0,99.6,21,0.0036357677883681
price_vs_MA60,0.4,0.0,99.6,13,0.0232303821136356
