rank,feature,importance,importance_pct,cum_pct,IV,IV_label,corr,coverage,is_derived
93,胜率_250d,15,0.39989336177019463,77.63263129832038,0.041088339126526444,弱,0.014780886462435054,95.55016181229773,
94,波动率_20d,15,0.39989336177019463,78.03252466009057,0.07549679625469338,弱,-0.08320256990954028,99.67637540453075,
95,MA250,15,0.39989336177019463,78.43241802186077,0.15748429383780868,中等,-0.11149753305538639,95.55016181229773,
96,总分_T-3,15,0.39989336177019463,78.83231138363097,0.0135010013790153,极弱,0.024040985414264825,96.35922330097088,
97,邀请日,15,0.39989336177019463,79.23220474540116,0.12349081054956262,中等,-0.04363167612315423,91.8284789644013,
98,同行PB_均值,15,0.39989336177019463,79.63209810717136,0.0526950090624684,弱,-0.030842158626048784,98.54368932038835,
99,营收_T,15,0.39989336177019463,80.03199146894156,0.01911287296817895,极弱,-0.025211433493517378,85.51779935275081,
100,营收_T2,15,0.39989336177019463,80.43188483071175,0.034083614469759806,弱,-0.01981546943557131,85.51779935275081,
101,营业利润_T4,14,0.37323380431884834,80.8051186350306,0.10118196238970682,中等,-0.0018645235831869886,85.19417475728154,
102,FCF_YoY,14,0.37323380431884834,81.17835243934944,0.03311286941797001,弱,-0.02088673609892568,85.51779935275081,🆕
103,市场年化收益_120d,14,0.37323380431884834,81.55158624366828,0.05192251616770199,弱,0.02889885555142873,99.59546925566343,🆕
104,盈利能力_delta_4y,14,0.37323380431884834,81.92482004798713,0.030120479242618698,弱,0.014339673592483324,96.27831715210357,🆕
105,折旧_T,14,0.37323380431884834,82.29805385230597,0.03478027748594964,弱,0.009421894745772432,85.43689320388349,
106,行业胜率_60d,13,0.34657424686750204,82.64462809917347,0.07172881652347508,弱,0.1083836437584927,99.02912621359224,
107,资本支出_加速,13,0.34657424686750204,82.99120234604098,0.021205128731695447,弱,-0.0316758952337356,85.27508090614887,🆕
108,营业利润_T,13,0.34657424686750204,83.33777659290848,0.035124784870049545,弱,0.006584924050170171,85.51779935275081,
109,同行PB_中位,13,0.34657424686750204,83.68435083977599,0.06733063767277993,弱,-0.02988795688336751,98.54368932038835,
110,总分_T,13,0.34657424686750204,84.03092508664349,0.04065882767699292,弱,0.05759383258771985,96.35922330097088,
111,盈利能力_T-4,13,0.34657424686750204,84.377499333511,0.030384500429051588,弱,0.0352946100455631,96.27831715210357,
112,vol_ratio_20_60,13,0.34657424686750204,84.7240735803785,0.024674066091378805,弱,-0.030645866239993637,99.67637540453075,🆕
113,MA60,13,0.34657424686750204,85.070647827246,0.13523940910710303,中等,-0.09643424823513314,99.67637540453075,
114,胜率_60d,13,0.34657424686750204,85.41722207411351,0.02557480122492188,弱,0.005751612192031652,99.67637540453075,
115,中位价,13,0.34657424686750204,85.76379632098102,0.1226699126551728,中等,-0.10867863994954642,91.8284789644013,
116,FCF_T4,12,0.3199146894161557,86.08371101039717,0.0364793439736734,弱,-0.03533662536652751,85.19417475728154,
117,营收_T4,12,0.3199146894161557,86.40362569981332,0.05919712921753663,弱,-0.019735899505637398,85.19417475728154,
118,资本支出_T2,12,0.3199146894161557,86.72354038922947,0.029011933860454666,弱,-0.030895521208226126,85.51779935275081,
119,成长能力_T,12,0.3199146894161557,87.04345507864562,0.021661118534762623,弱,0.05748458650223888,96.35922330097088,
120,NOPAT_YoY,12,0.3199146894161557,87.36336976806177,0.03958610548540298,弱,0.046523875200113675,85.51779935275081,🆕
